"10px","10px"
"<a href="http://developers.facebook.com/setup/" target="_bank">Register to Facebook</a>","<a href="http://developers.facebook.com/setup/" target="_bank">Register to Facebook</a>"
"Custom Url","Custom Url"
"Default Facebook Shared Message","Default Facebook Shared Message"
"Default Invite Email Content","Default Invite Email Content"
"Default Invite Email Subject","Default Invite Email Subject"
"Default Twitter Shared Message","Default Twitter Shared Message"
"Email","Email"
"Email to a Friend","Email to a Friend"
"Email to friends","Email to friends"
"Enter your friends","Enter your friends"
"Facebook","Facebook"
"Facebook Application ID","Facebook Application ID"
"Facebook Application Secret","Facebook Application Secret"
"From","From"
"Gmail","Gmail"
"Google Consumer Key","Google Consumer Key"
"Google Consumer Secret","Google Consumer Secret"
"Google+","Google+"
"No email address is available!","No email address is available!"
"No email has been sent.","No email has been sent."
"Or retrieve contacts from","Or retrieve contacts from"
"Personal URL","Personal URL"
"Personal Url Prefix","Personal Url Prefix"
"Please enter a valid custom url","Please enter a valid custom url"
"Post on Facebook","Post on Facebook"
"Refer Friend Description","Refer Friend Description"
"Refer Friends Configuration","Refer Friends Configuration"
"Refer Friends Email","Refer Friends Email"
"Refer Friends and Earn Money","Refer Friends and Earn Money"
"Refer friends Page","Refer friends Page"
"Refer friends email template","Refer friends email template"
"Save","Save"
"Select Contacts","Select Contacts"
"Select contacts to send email","Select contacts to send email"
"Send Email","Send Email"
"Sending Email","Sending Email"
"Share","Share"
"Share on Facebook","Share on Facebook"
"Share on Google Plus","Share on Google Plus"
"Share on Twitter","Share on Twitter"
"Sharing Description","Sharing Description"
"Show on My account/ Affiliate Menu","Show on My account/ Affiliate Menu"
"Show on list product page","Show on list product page"
"Show on product detail page","Show on product detail page"
"Show refer friends link","Show refer friends link"
"Shown on Refer Friend Page","Shown on Refer Friend Page"
"Shown on header of Sharing box","Shown on header of Sharing box"
"Social Configuration","Social Configuration"
"Subject","Subject"
"This message has been posted successfully!","This message has been posted successfully!"
"This url already exists. Please choose another custom url.","This url already exists. Please choose another custom url."
"Traffic sources","Traffic sources"
"Tweet","Tweet"
"Twitter","Twitter"
"Used for sending invite email","Used for sending invite email"
"Yahoo","Yahoo"
"Yahoo Application ID","Yahoo Application ID"
"Yahoo Consumer Key","Yahoo Consumer Key"
"Yahoo Consumer Secret","Yahoo Consumer Secret"
"Your custom url has been saved successfully!","Your custom url has been saved successfully!"
"Your personal affiliate url","Your personal affiliate url"
"get contacts from gmail","get contacts from gmail"
"get contacts from yahoo","get contacts from yahoo"
